billing_id,customer_id,bill_date,amount_due,payment_status,payment_method
82,82,2024-09-21,141.82,Pending,Bank Transfer
83,83,2024-05-01,140.61,Paid,Bank Transfer
84,84,2024-06-22,297.78,Unpaid,Cash
85,85,2024-04-24,228.78,Unpaid,PayPal
86,86,2024-08-24,179.44,Paid,Bank Transfer
87,87,2025-03-08,70.48,Paid,PayPal
88,88,2024-04-18,19.76,Paid,Cash
89,89,2024-08-23,241.23,Paid,Cash
90,90,2024-07-29,126.85,Unpaid,Cash
91,91,2024-03-31,129.69,Paid,PayPal
92,92,2024-05-08,198.62,Pending,Credit Card
93,93,2024-08-30,146.2,Unpaid,PayPal
94,94,2024-05-27,175.42,Unpaid,Bank Transfer
95,95,2025-02-27,252.19,Pending,PayPal
96,96,2024-11-12,111.96,Unpaid,Bank Transfer
97,97,2024-04-28,88.26,Unpaid,PayPal
98,98,2024-09-18,268.66,Paid,Credit Card
99,99,2024-05-31,193.18,Paid,Bank Transfer
100,100,2024-10-17,114.55,Pending,PayPal
101,101,2024-10-10,156.87,Unpaid,Cash
102,102,2025-01-31,261.75,Pending,Bank Transfer
103,103,2024-07-20,284.18,Paid,Cash
104,104,2024-06-19,231.52,Paid,PayPal
105,105,2024-04-19,94.17,Unpaid,Credit Card
106,106,2024-07-30,240.05,Pending,Cash
107,107,2025-01-20,210.56,Unpaid,Credit Card
108,108,2024-04-07,48.92,Pending,PayPal
109,109,2024-06-26,205.23,Paid,Credit Card
110,110,2024-09-29,264.31,Unpaid,Cash
111,111,2024-10-20,25.82,Unpaid,PayPal
112,112,2024-04-12,215.28,Unpaid,Credit Card
113,113,2025-01-15,42.47,Pending,PayPal
114,114,2024-06-30,223.46,Paid,PayPal
115,115,2025-01-17,28.61,Pending,Bank Transfer
116,116,2024-10-12,39.76,Paid,Cash
117,117,2024-11-12,93.89,Unpaid,Cash
118,118,2024-12-14,237.87,Unpaid,Cash
119,119,2024-10-13,253.73,Unpaid,PayPal
120,120,2024-10-29,14.37,Paid,Credit Card
121,121,2024-10-06,246.76,Pending,Credit Card
122,122,2024-08-28,155.46,Paid,Credit Card
123,123,2024-07-06,137.42,Paid,Bank Transfer
124,124,2024-05-15,191.12,Paid,Cash
125,125,2024-10-31,216.42,Unpaid,Credit Card
126,126,2024-09-11,125.53,Pending,PayPal
127,127,2024-06-08,154.01,Paid,PayPal
128,128,2024-10-29,222.87,Unpaid,Bank Transfer
129,129,2025-02-27,256.23,Unpaid,Credit Card
130,130,2025-03-15,152.67,Unpaid,PayPal
131,131,2024-06-02,282.15,Pending,Credit Card
132,132,2025-03-06,276.86,Unpaid,PayPal
133,133,2024-08-12,53.46,Pending,PayPal
134,134,2024-06-27,261.09,Unpaid,Credit Card
135,135,2025-02-21,51.97,Paid,PayPal
136,136,2024-07-26,58.48,Pending,Cash
137,137,2024-11-16,189.41,Paid,Credit Card
138,138,2024-06-16,263.3,Unpaid,PayPal
139,139,2024-07-13,162.77,Pending,Credit Card
140,140,2024-03-31,204.23,Pending,Cash
141,141,2024-05-09,89.12,Unpaid,Bank Transfer
142,142,2024-04-25,25.28,Paid,Cash
143,143,2024-08-23,158.75,Pending,Credit Card
144,144,2024-05-27,250.38,Paid,PayPal
145,145,2024-10-05,174.57,Pending,Cash
146,146,2024-03-29,291.68,Paid,PayPal
147,147,2024-05-14,143.72,Paid,PayPal
148,148,2024-08-27,76.15,Pending,Bank Transfer
149,149,2024-04-22,67.33,Pending,PayPal
150,150,2025-01-17,157.6,Paid,Bank Transfer
151,151,2025-01-30,99.8,Unpaid,PayPal
152,152,2024-06-17,15.49,Unpaid,PayPal
153,153,2025-03-03,287.67,Pending,Cash
154,154,2024-07-22,147.58,Unpaid,Credit Card
155,155,2024-07-12,186.74,Paid,PayPal
156,156,2024-10-21,39.92,Pending,PayPal
157,157,2024-08-26,219.48,Paid,Bank Transfer
158,158,2024-07-10,184.08,Paid,PayPal
159,159,2024-07-07,79.57,Paid,Bank Transfer
160,160,2024-12-14,64.62,Unpaid,Bank Transfer
161,161,2024-10-30,230.46,Pending,PayPal
162,162,2024-04-01,61.56,Pending,Credit Card
163,163,2024-06-13,39.86,Pending,Bank Transfer
164,164,2025-01-29,46.34,Paid,Cash
165,165,2024-05-20,260.37,Pending,Bank Transfer
166,166,2024-04-13,196.37,Pending,Bank Transfer
167,167,2024-06-17,139.4,Paid,Credit Card
168,168,2024-08-26,144.6,Paid,Cash
169,169,2024-10-29,134.14,Pending,Cash
170,170,2024-07-02,99.73,Paid,Bank Transfer
171,171,2024-10-20,193.96,Pending,Cash
172,172,2024-05-30,162.1,Unpaid,PayPal
173,173,2024-06-15,120.33,Paid,PayPal
174,174,2024-03-18,156.42,Unpaid,Credit Card
175,175,2024-09-09,225.55,Unpaid,Credit Card
176,176,2024-07-05,283.31,Paid,Cash
177,177,2025-01-09,110.66,Unpaid,Cash
178,178,2024-05-05,165.41,Paid,PayPal
179,179,2025-02-28,152.59,Unpaid,PayPal
180,180,2024-06-14,96.91,Pending,Bank Transfer
181,181,2024-10-16,35.72,Pending,Bank Transfer
182,182,2024-12-22,21.59,Pending,Bank Transfer
183,183,2025-03-07,80.42,Unpaid,PayPal
184,184,2024-07-10,24.34,Unpaid,Bank Transfer
185,185,2024-08-26,273.21,Pending,Bank Transfer
186,186,2024-05-05,30.68,Pending,PayPal
187,187,2024-07-29,55.63,Pending,Credit Card
188,188,2024-07-20,134.72,Paid,Cash
189,189,2024-08-04,288.96,Pending,Bank Transfer
190,190,2024-11-08,93.41,Unpaid,Bank Transfer
191,191,2024-06-29,210.11,Unpaid,Credit Card
192,192,2024-05-18,121.14,Unpaid,PayPal
193,193,2024-11-23,32.39,Paid,Credit Card
194,194,2024-06-20,293.84,Paid,Cash
195,195,2024-06-14,175.7,Unpaid,Credit Card
196,196,2024-12-12,197.82,Unpaid,Bank Transfer
197,197,2024-05-10,136.11,Pending,Bank Transfer
198,198,2024-07-24,145.57,Paid,Bank Transfer
199,199,2024-12-11,131.27,Pending,Cash
200,200,2024-12-22,181.32,Unpaid,Cash
201,201,2024-05-22,272.08,Paid,PayPal
202,202,2024-07-06,184.4,Pending,Cash
203,203,2024-11-10,273.69,Unpaid,Bank Transfer
204,204,2024-08-16,56.43,Pending,PayPal
205,205,2024-07-20,217.57,Unpaid,PayPal
206,206,2024-11-25,190.13,Pending,Bank Transfer
207,207,2024-06-14,152.6,Pending,Bank Transfer
208,208,2024-08-20,53.99,Pending,PayPal
209,209,2024-06-26,87.57,Unpaid,Bank Transfer
210,210,2024-03-18,274.15,Paid,Credit Card
211,211,2025-01-03,270.21,Paid,Credit Card
212,212,2025-03-05,237.74,Paid,Cash
213,213,2025-03-14,127.65,Paid,Bank Transfer
214,214,2024-04-24,230.28,Pending,Bank Transfer
215,215,2024-12-16,292.58,Pending,Credit Card
216,216,2025-02-28,77.55,Pending,Bank Transfer
217,217,2024-09-27,168.7,Paid,Cash
218,218,2024-05-24,106.48,Pending,Bank Transfer
219,219,2024-07-27,148.9,Paid,Bank Transfer
220,220,2024-08-27,253.08,Pending,PayPal
221,221,2024-07-11,56.74,Paid,Credit Card
222,222,2024-10-20,237.51,Paid,Cash
223,223,2024-11-02,98.93,Unpaid,Bank Transfer
224,224,2024-05-25,134.41,Unpaid,Credit Card
225,225,2024-10-15,230.5,Paid,Cash
226,226,2024-08-09,101.56,Unpaid,PayPal
227,227,2024-11-17,22.92,Unpaid,Bank Transfer
228,228,2024-12-28,94.18,Paid,Credit Card
229,229,2025-02-09,248.91,Pending,Bank Transfer
230,230,2024-11-24,35.42,Paid,PayPal
231,231,2024-08-18,112.01,Pending,Bank Transfer
232,232,2025-01-11,91.28,Pending,Credit Card
233,233,2025-01-25,126.24,Paid,Bank Transfer
234,234,2024-07-23,198.16,Paid,PayPal
235,235,2024-07-18,67.92,Paid,Cash
236,236,2024-06-12,179.32,Unpaid,PayPal
237,237,2024-09-20,150.77,Pending,Bank Transfer
238,238,2024-09-23,241.94,Paid,Bank Transfer
239,239,2024-08-29,177.53,Unpaid,PayPal
240,240,2024-05-05,45.93,Pending,Credit Card
241,241,2024-08-19,164.78,Unpaid,PayPal
242,242,2024-09-21,261.83,Paid,Credit Card
243,243,2025-02-16,129.75,Unpaid,PayPal
244,244,2024-05-06,193.96,Unpaid,Bank Transfer
245,245,2024-10-19,175.14,Paid,Credit Card
246,246,2024-09-08,12.24,Paid,Bank Transfer
247,247,2024-04-16,223.19,Pending,Cash
248,248,2024-12-24,286.8,Pending,PayPal
249,249,2024-05-07,154.53,Pending,Bank Transfer
250,250,2025-03-09,14.32,Paid,Cash
251,251,2024-11-14,286.97,Pending,Cash
252,252,2024-07-22,20.27,Unpaid,PayPal
253,253,2025-01-24,16.07,Unpaid,PayPal
254,254,2024-10-14,224.73,Pending,Cash
255,255,2025-01-18,94.14,Paid,PayPal
256,256,2024-06-03,270.42,Pending,PayPal
257,257,2024-11-15,234.54,Unpaid,PayPal
258,258,2024-10-08,291.04,Paid,Cash
259,259,2025-01-24,70.27,Pending,Cash
260,260,2025-01-02,185.53,Unpaid,PayPal
261,261,2024-04-25,47.12,Paid,Credit Card
262,262,2024-04-03,66.24,Paid,PayPal
263,263,2025-01-06,45.92,Paid,Cash
264,264,2024-11-07,153.9,Pending,Cash
265,265,2025-02-13,283.17,Unpaid,Bank Transfer
266,266,2025-02-24,269.09,Unpaid,Cash
267,267,2024-12-09,193.07,Paid,Cash
268,268,2024-06-01,30.63,Pending,Credit Card
269,269,2024-05-02,255.27,Unpaid,Bank Transfer
270,270,2024-10-25,91.46,Pending,Credit Card
271,271,2024-05-13,287.4,Unpaid,PayPal
272,272,2024-04-22,88.9,Unpaid,PayPal
273,273,2024-10-18,156.99,Unpaid,Cash
274,274,2025-02-01,187.03,Pending,PayPal
275,275,2024-08-01,296.38,Pending,Credit Card
276,276,2024-06-16,285.91,Paid,Cash
277,277,2025-01-24,151.07,Unpaid,Bank Transfer
278,278,2024-09-15,226.62,Paid,Cash
279,279,2024-09-15,233.06,Unpaid,Cash
280,280,2024-05-31,103.41,Unpaid,PayPal
281,281,2024-07-31,272.71,Unpaid,Credit Card
282,282,2024-04-21,187.6,Paid,PayPal
283,283,2024-11-14,54.9,Unpaid,Cash
284,284,2024-11-11,55.17,Pending,Cash
285,285,2024-06-07,286.42,Unpaid,PayPal
286,286,2024-06-19,275.79,Pending,PayPal
287,287,2024-08-01,163.42,Unpaid,PayPal
288,288,2024-07-05,177.26,Paid,PayPal
289,289,2024-12-21,197.84,Paid,PayPal
290,290,2024-08-27,290.21,Paid,Cash
291,291,2024-04-16,126.73,Paid,PayPal
292,292,2024-03-16,129.15,Paid,PayPal
293,293,2024-11-23,94.84,Paid,PayPal
294,294,2024-06-20,255.82,Unpaid,PayPal
295,295,2024-04-06,194.56,Pending,Credit Card
296,296,2024-12-03,265.21,Unpaid,Cash
297,297,2024-10-08,198.71,Unpaid,Credit Card
298,298,2024-05-25,149.3,Paid,Credit Card
299,299,2024-06-15,65.39,Unpaid,Credit Card
300,300,2024-10-13,17.54,Pending,Cash
301,301,2024-05-23,34.59,Pending,PayPal
302,302,2025-01-05,253.57,Unpaid,Credit Card
303,303,2024-03-29,234.94,Paid,Credit Card
304,304,2024-09-12,77.44,Paid,Cash
305,305,2024-05-19,93.12,Paid,Cash
306,306,2024-07-14,219.37,Paid,Cash
307,307,2025-02-02,299.96,Unpaid,PayPal
308,308,2025-01-12,101.53,Unpaid,Credit Card
309,309,2024-04-15,199.06,Unpaid,Bank Transfer
310,310,2024-05-31,194.37,Paid,Cash
311,311,2025-02-10,139.39,Paid,Cash
312,312,2024-09-09,19.91,Paid,Bank Transfer
313,313,2025-03-09,78.7,Pending,PayPal
314,314,2024-08-17,163.05,Paid,PayPal
315,315,2024-03-19,77.42,Paid,Credit Card
316,316,2024-07-27,36.01,Paid,PayPal
317,317,2024-11-29,249.26,Paid,PayPal
318,318,2024-10-12,141.25,Unpaid,Cash
319,319,2024-06-19,271.35,Pending,Credit Card
320,320,2024-09-04,193.88,Paid,Bank Transfer
321,321,2024-03-25,77.21,Unpaid,Cash
322,322,2025-03-16,93.07,Paid,PayPal
323,323,2024-06-23,298.15,Unpaid,Credit Card
324,324,2024-09-30,54.17,Paid,Bank Transfer
325,325,2024-10-04,241.36,Paid,Credit Card
326,326,2025-02-07,52.61,Pending,PayPal
327,327,2024-11-07,172.52,Pending,PayPal
328,328,2024-08-03,285.48,Pending,Bank Transfer
329,329,2024-06-28,30.83,Pending,PayPal
330,330,2025-02-21,107.57,Unpaid,PayPal
331,331,2024-11-19,155.87,Pending,Bank Transfer
332,332,2024-07-15,46.79,Paid,Bank Transfer
333,333,2024-08-19,266.82,Paid,Bank Transfer
334,334,2025-01-25,101.06,Unpaid,Credit Card
335,335,2024-10-13,178.47,Pending,PayPal
336,336,2025-02-08,268.42,Pending,PayPal
337,337,2024-06-12,139.69,Unpaid,Bank Transfer
338,338,2025-03-14,102.96,Unpaid,Bank Transfer
339,339,2024-12-28,293.35,Pending,Cash
340,340,2024-07-29,101.06,Pending,Bank Transfer
341,341,2024-11-11,86.22,Pending,Cash
342,342,2024-11-10,122.95,Paid,Cash
343,343,2025-02-20,239.21,Unpaid,Credit Card
344,344,2025-01-06,235.55,Unpaid,PayPal
345,345,2024-11-14,158.3,Unpaid,Bank Transfer
346,346,2025-02-08,257.59,Pending,Credit Card
347,347,2024-03-18,146.87,Unpaid,Credit Card
348,348,2025-02-26,246.99,Pending,Cash
349,349,2024-11-07,270.06,Unpaid,Bank Transfer
350,350,2025-01-24,50.79,Paid,PayPal
351,351,2024-04-12,51.35,Paid,PayPal
352,352,2024-07-18,214.96,Unpaid,PayPal
353,353,2024-08-20,37.63,Pending,Bank Transfer
354,354,2024-06-24,199.21,Paid,Cash
355,355,2024-08-22,240.84,Pending,Credit Card
356,356,2024-11-15,30.15,Pending,Cash
357,357,2024-08-29,264.8,Paid,Credit Card
358,358,2024-12-22,182.25,Unpaid,PayPal
359,359,2025-02-17,168.79,Pending,Cash
360,360,2024-09-16,267.55,Unpaid,Bank Transfer
361,361,2024-05-19,165.75,Pending,Credit Card
362,362,2025-02-23,184.42,Unpaid,Credit Card
363,363,2025-03-10,165.5,Paid,Cash
364,364,2024-10-30,240.05,Pending,Cash
365,365,2025-01-15,103.45,Paid,Bank Transfer
366,366,2024-03-16,107.24,Paid,Cash
367,367,2025-01-06,127.81,Pending,PayPal
368,368,2024-07-18,98.65,Paid,PayPal
369,369,2024-08-30,24.8,Unpaid,Cash
370,370,2024-04-21,261.11,Paid,Cash
371,371,2024-06-21,44.17,Pending,Cash
372,372,2024-03-17,209.7,Unpaid,Credit Card
373,373,2025-02-04,212.09,Unpaid,Cash
374,374,2024-12-06,157.78,Paid,Cash
375,375,2024-12-27,265.18,Paid,PayPal
376,376,2024-10-16,104.26,Paid,Bank Transfer
377,377,2024-06-10,276.37,Unpaid,Bank Transfer
378,378,2024-10-04,159.05,Unpaid,Cash
379,379,2024-09-23,223.09,Pending,Credit Card
380,380,2025-03-08,149.83,Unpaid,Cash
381,381,2025-02-26,57.16,Unpaid,Cash
382,382,2024-12-05,295.47,Paid,PayPal
383,383,2024-05-16,172.32,Pending,Bank Transfer
384,384,2025-01-04,26.82,Paid,Bank Transfer
385,385,2024-10-13,65.78,Unpaid,Bank Transfer
386,386,2025-02-24,239.75,Unpaid,Bank Transfer
387,387,2024-09-27,55.1,Paid,PayPal
388,388,2024-10-13,229.55,Paid,Bank Transfer
389,389,2024-05-01,284.1,Paid,Bank Transfer
390,390,2024-09-24,180.47,Paid,Credit Card
391,391,2024-11-23,290.24,Unpaid,PayPal
392,392,2024-08-17,286.95,Paid,Bank Transfer
393,393,2025-02-24,253.39,Pending,Bank Transfer
394,394,2024-06-20,76.9,Unpaid,Credit Card
395,395,2024-08-02,116.57,Unpaid,Credit Card
396,396,2024-04-27,221.76,Paid,PayPal
397,397,2024-04-08,174.36,Unpaid,Cash
398,398,2024-12-29,82.38,Unpaid,Credit Card
399,399,2024-07-10,160.27,Paid,Bank Transfer
400,400,2025-03-11,208.02,Unpaid,Credit Card
401,401,2024-08-03,249.91,Paid,Bank Transfer
402,402,2024-09-24,273.97,Unpaid,Bank Transfer
403,403,2024-09-22,282.96,Paid,PayPal
404,404,2024-06-21,293.25,Paid,Bank Transfer
405,405,2024-06-10,261.4,Unpaid,Credit Card
406,406,2025-01-02,88.91,Unpaid,Bank Transfer
407,407,2024-03-28,15.95,Pending,Credit Card
408,408,2024-08-22,259.87,Unpaid,Credit Card
409,409,2024-04-16,131.63,Paid,Cash
410,410,2024-06-26,76.18,Pending,Cash
411,411,2024-10-17,95.77,Pending,Cash
412,412,2024-04-15,223.46,Paid,Cash
413,413,2024-11-30,212.5,Paid,Bank Transfer
414,414,2024-05-22,194.33,Paid,PayPal
415,415,2024-11-23,37.71,Unpaid,Bank Transfer
416,416,2024-12-19,178.88,Pending,PayPal
417,417,2024-09-28,254.4,Pending,PayPal
418,418,2024-12-23,114.78,Unpaid,Credit Card
419,419,2024-04-24,288.97,Unpaid,PayPal
420,420,2024-10-05,234.16,Pending,PayPal
421,421,2025-01-19,53.82,Pending,PayPal
422,422,2024-10-25,287.98,Paid,PayPal
423,423,2024-07-29,136.0,Pending,Bank Transfer
424,424,2024-10-24,164.44,Unpaid,Bank Transfer
425,425,2025-02-18,51.8,Pending,Bank Transfer
426,426,2024-07-19,45.51,Pending,Cash
427,427,2024-06-29,298.68,Unpaid,Cash
428,428,2024-10-03,164.5,Pending,Bank Transfer
429,429,2025-02-26,184.22,Paid,Bank Transfer
430,430,2024-06-01,35.85,Pending,Cash
431,431,2025-01-13,284.48,Paid,Bank Transfer
432,432,2024-12-02,114.33,Paid,Cash
433,433,2024-09-04,101.6,Pending,Bank Transfer
434,434,2025-03-06,188.29,Unpaid,Credit Card
435,435,2024-12-14,261.14,Unpaid,Bank Transfer
436,436,2025-01-06,75.71,Paid,Bank Transfer
437,437,2025-01-30,103.66,Unpaid,PayPal
438,438,2024-04-26,55.85,Pending,Credit Card
439,439,2024-12-22,219.59,Paid,Credit Card
440,440,2024-05-23,148.83,Paid,Bank Transfer
441,441,2024-03-29,197.92,Pending,Bank Transfer
442,442,2024-04-05,53.37,Paid,Credit Card
443,443,2024-04-14,82.16,Paid,Cash
444,444,2024-06-29,31.21,Paid,Bank Transfer
445,445,2024-06-22,45.25,Paid,Cash
446,446,2024-08-26,293.86,Paid,Bank Transfer
447,447,2024-06-25,106.73,Unpaid,Cash
448,448,2024-09-16,58.73,Unpaid,Bank Transfer
449,449,2024-12-29,203.06,Pending,Cash
450,450,2024-12-06,99.8,Unpaid,Bank Transfer
451,451,2024-05-26,246.77,Paid,Cash
452,452,2025-01-09,216.44,Unpaid,Credit Card
453,453,2025-03-11,265.48,Unpaid,Bank Transfer
454,454,2024-07-03,27.01,Unpaid,PayPal
455,455,2024-07-21,190.05,Unpaid,Credit Card
456,456,2025-01-20,249.14,Unpaid,Cash
457,457,2024-07-17,245.54,Pending,PayPal
458,458,2024-10-17,21.59,Unpaid,PayPal
459,459,2024-03-20,153.1,Pending,Cash
460,460,2025-02-28,58.56,Unpaid,Bank Transfer
461,461,2024-05-14,168.71,Unpaid,Credit Card
462,462,2025-02-02,140.28,Paid,PayPal
463,463,2025-01-09,191.72,Unpaid,Bank Transfer
464,464,2025-02-05,46.78,Pending,Bank Transfer
465,465,2024-06-27,173.78,Unpaid,PayPal
466,466,2024-11-19,55.87,Unpaid,Bank Transfer
467,467,2024-12-27,55.01,Unpaid,Bank Transfer
468,468,2024-09-14,168.67,Unpaid,Bank Transfer
469,469,2024-04-15,248.29,Unpaid,PayPal
470,470,2024-08-11,212.68,Paid,Credit Card
471,471,2024-06-14,110.51,Unpaid,PayPal
472,472,2024-06-11,199.32,Pending,Credit Card
473,473,2024-04-13,188.5,Pending,Bank Transfer
474,474,2024-12-28,165.52,Pending,PayPal
475,475,2024-08-21,22.65,Paid,Cash
476,476,2024-12-06,68.66,Pending,Bank Transfer
477,477,2025-01-30,94.99,Unpaid,Bank Transfer
478,478,2024-03-23,169.93,Unpaid,Cash
479,479,2024-07-11,165.06,Pending,PayPal
480,480,2024-12-18,23.59,Unpaid,Credit Card
481,481,2024-08-31,163.33,Unpaid,PayPal
482,482,2024-06-12,99.53,Unpaid,PayPal
483,483,2024-07-28,240.4,Unpaid,Cash
484,484,2024-12-16,236.29,Paid,Cash
485,485,2024-12-11,201.71,Paid,Credit Card
486,486,2024-05-19,247.22,Paid,Bank Transfer
487,487,2025-03-03,113.08,Unpaid,Credit Card
488,488,2025-01-06,227.0,Unpaid,Credit Card
489,489,2024-07-19,107.94,Pending,PayPal
490,490,2024-03-28,118.45,Pending,Cash
491,491,2024-08-19,17.63,Unpaid,Credit Card
492,492,2025-01-23,133.57,Pending,Bank Transfer
493,493,2025-02-12,39.12,Pending,Credit Card
494,494,2024-10-07,238.14,Paid,Cash
495,495,2025-01-22,204.44,Pending,Credit Card
496,496,2024-06-22,90.98,Pending,Credit Card
497,497,2024-09-23,65.1,Unpaid,PayPal
498,498,2025-02-01,261.34,Unpaid,PayPal
499,499,2025-03-10,259.76,Pending,Bank Transfer
500,500,2024-11-29,287.44,Paid,Bank Transfer
501,501,2024-06-28,53.39,Pending,PayPal
502,502,2024-05-14,278.75,Unpaid,PayPal
503,503,2024-08-24,231.85,Paid,Credit Card
504,504,2024-12-20,263.17,Pending,Cash
505,505,2024-09-18,89.61,Unpaid,Cash
506,506,2024-09-29,235.01,Unpaid,PayPal
507,507,2024-09-21,158.21,Pending,Bank Transfer
508,508,2024-12-15,217.18,Pending,Bank Transfer
509,509,2024-05-05,109.56,Unpaid,Bank Transfer
510,510,2024-08-16,259.77,Pending,Credit Card
511,511,2024-09-05,110.39,Pending,Credit Card
512,512,2024-11-16,272.41,Unpaid,Cash
513,513,2024-11-18,177.86,Unpaid,Bank Transfer
514,514,2024-12-17,80.93,Paid,Credit Card
515,515,2024-10-13,182.21,Paid,PayPal
516,516,2024-11-19,227.45,Paid,PayPal
517,517,2024-12-20,284.51,Unpaid,PayPal
518,518,2024-05-25,175.91,Paid,Credit Card
519,519,2024-08-08,92.39,Unpaid,Cash
520,520,2025-02-05,49.07,Pending,Cash
521,521,2024-10-07,77.61,Pending,Cash
522,522,2025-01-15,18.46,Pending,PayPal
523,523,2025-03-14,224.03,Pending,Cash
524,524,2024-05-18,226.61,Paid,Cash
525,525,2024-09-10,143.67,Paid,PayPal
526,526,2024-06-16,100.65,Paid,Cash
527,527,2024-03-31,298.53,Unpaid,PayPal
528,528,2025-02-19,209.14,Unpaid,Credit Card
529,529,2025-01-19,164.83,Unpaid,PayPal
530,530,2024-05-13,196.26,Paid,Cash
531,531,2024-05-06,250.34,Pending,Bank Transfer
532,532,2025-02-04,141.76,Pending,Bank Transfer
533,533,2024-11-28,108.2,Pending,Bank Transfer
534,534,2024-09-08,58.57,Pending,Credit Card
535,535,2025-01-18,271.31,Paid,Credit Card
536,536,2024-07-02,188.79,Pending,Cash
537,537,2024-05-17,156.72,Unpaid,Bank Transfer
538,538,2024-05-07,240.86,Unpaid,PayPal
539,539,2024-05-31,241.69,Pending,Cash
540,540,2024-11-08,271.63,Paid,Bank Transfer
541,541,2025-02-13,245.06,Paid,Cash
542,542,2024-08-27,172.99,Unpaid,PayPal
543,543,2025-01-15,157.57,Pending,PayPal
544,544,2024-07-03,235.75,Paid,Credit Card
545,545,2024-10-12,282.48,Pending,Bank Transfer
546,546,2024-06-06,232.65,Pending,Credit Card
547,547,2024-05-13,158.46,Paid,Cash
